name,surname,initials,age,date_of_birth
David,Garcia,D,39,1986-01-18
Julia,Quinn,J,59,1966-06-24
Alice,Smith,A,53,1972-05-10
Hannah,Foster,H,25,2000-01-04
Ethan,Smith,E,79,1946-06-25
Tom,Hill,T,36,1989-11-07
Sophia,Davis,S,34,1991-07-21
Carla,Evans,C,21,2004-01-11
Laura,King,L,47,1978-10-10
Sophia,Turner,S,68,1957-05-07
Julia,Roberts,J,35,1990-07-11
David,Lewis,D,41,1984-06-09
Oscar,Adams,O,47,1978-11-18
Carla,Morris,C,69,1956-07-07
Quinn,Turner,Q,72,1953-01-20
David,Davis,D,38,1987-11-22
Hannah,Hill,H,73,1952-10-11
David,Hill,D,64,1961-07-23
Tom,Jones,T,34,1991-06-08
Laura,Lewis,L,49,1976-05-18
Ben,King,B,60,1965-05-22
Alice,Irwin,A,48,1977-06-10
George,Parker,G,47,1978-12-05
Ben,Lewis,B,74,1951-11-11
Oscar,Garcia,O,67,1958-12-23
Kevin,Davis,K,65,1960-12-25
Tom,King,T,64,1961-10-14
Julia,Owens,J,41,1984-07-13
Kevin,Lewis,K,54,1971-02-26
David,Lewis,D,72,1953-07-05
Ethan,King,E,80,1945-11-10
Fiona,Owens,F,31,1994-09-27
Carla,King,C,38,1987-11-07
Laura,Clark,L,51,1974-03-15
Kevin,King,K,33,1992-04-06
Julia,Jones,J,51,1974-04-25
Kevin,Evans,K,78,1947-12-18
Tom,Nelson,T,76,1949-01-25
Oscar,Smith,O,30,1995-09-03
Carla,Jones,C,41,1984-12-20
Julia,King,J,77,1948-02-03
Ryan,Brown,R,65,1960-08-19
Mike,Turner,M,19,2006-07-06
Ian,Parker,I,67,1958-08-23
Ethan,Brown,E,59,1966-01-04
David,Garcia,D,62,1963-06-22
David,Turner,D,45,1980-06-15
Fiona,Foster,F,28,1997-01-06
Sophia,Adams,S,69,1956-10-07
Ryan,Roberts,R,78,1947-10-04
Kevin,Turner,K,61,1964-06-26
Nina,Parker,N,31,1994-09-27
Julia,Davis,J,58,1967-01-02
Ben,Brown,B,27,1998-07-19
Ethan,Nelson,E,49,1976-12-27
